Gene	Ensembl	Uniprot_Accession	Gene.description	HPA.evidence	RNA.tissue.specificity	RNA.tissue.specificity.score	RNA.tissue.specific.nTPM	Uniprot_Name	Mass	GO_Annotations	GeneID	Pubmed_Citations	Antibody.Count	HGNC	ASCTB_Tissues	ASCTB_UBERON
SLC27A5	ENSG00000083807	Q9Y2P5	Solute carrier family 27 member 5	Evidence at protein level	Tissue enriched	21	liver: 1031.9	S27A5_HUMAN	75385	39	10998	21	7	NA	NA	NA
SLC27A6	ENSG00000113396	Q9Y2P4	Solute carrier family 27 member 6	Evidence at transcript level	Tissue enhanced	NA	adrenal gland: 24.6;brain: 26.5;fallopian tube: 21.4;heart muscle: 23.7	S27A6_HUMAN	70112	16	28965	19	1	NA	NA	NA
SLC28A1	ENSG00000156222	O00337	Solute carrier family 28 member 1	Evidence at protein level	Group enriched	21	intestine: 49.5;kidney: 48.4;liver: 112.2	S28A1_HUMAN	71584	33	9154	49	0	NA	NA	NA
SLC28A2	ENSG00000137860	O43868	Solute carrier family 28 member 2	Evidence at protein level	Tissue enriched	4	intestine: 93.0	S28A2_HUMAN	71926	42	9153	38	1	NA	NA	NA
SLC28A3	ENSG00000197506	Q9HAS3	Solute carrier family 28 member 3	Evidence at protein level	Tissue enhanced	NA	choroid plexus: 18.3;salivary gland: 12.1	S28A3_HUMAN	76930	24	64078	55	0	NA	NA	NA
SLC29A1	ENSG00000112759	Q99808	Solute carrier family 29 member 1 (Augustine blood group)	Evidence at protein level	Low tissue specificity	NA		S29A1_HUMAN	50219	41	2030	187	1	NA	NA	NA
SLC29A2	ENSG00000174669	Q14542	Solute carrier family 29 member 2	Evidence at transcript level	Group enriched	5	skeletal muscle: 91.6;tongue: 47.7	S29A2_HUMAN	50113	40	3177	51	1	NA	NA	NA
SLC29A3	ENSG00000198246	Q9BZD2	Solute carrier family 29 member 3	Evidence at protein level	Low tissue specificity	NA		S29A3_HUMAN	51815	16	55315	47	0	NA	NA	NA
SLC29A4	ENSG00000164638	Q7RTT9	Solute carrier family 29 member 4	Evidence at protein level	Tissue enhanced	NA	adipose tissue: 43.7;choroid plexus: 44.8	S29A4_HUMAN	58059	55	222962	28	10	NA	NA	NA
SLC2A1	ENSG00000117394	P11166	Solute carrier family 2 member 1	Evidence at protein level	Tissue enhanced	NA	placenta: 99.5;skin 1: 77.9	GTR1_HUMAN	54084	102	6513	706	22	NA	NA	NA
SLC2A10	ENSG00000197496	O95528	Solute carrier family 2 member 10	Evidence at protein level	Low tissue specificity	NA		GTR10_HUMAN	56911	44	81031	41	1	NA	NA	NA
SLC2A11	ENSG00000133460	Q9BYW1	Solute carrier family 2 member 11	Evidence at transcript level	Low tissue specificity	NA		GTR11_HUMAN	53703	18	66035	17	0	NA	NA	NA
SLC2A12	ENSG00000146411	Q8TD20	Solute carrier family 2 member 12	Evidence at protein level	Tissue enhanced	NA	choroid plexus: 72.2	GTR12_HUMAN	66966	12	154091	29	0	NA	NA	NA
SLC2A13	ENSG00000151229	Q96QE2	Solute carrier family 2 member 13	Evidence at protein level	Tissue enhanced	NA	parathyroid gland: 22.8	MYCT_HUMAN	70371	39	114134	26	0	NA	NA	NA
SLC2A14	ENSG00000173262	Q8TDB8	Solute carrier family 2 member 14	Evidence at protein level	Tissue enriched	12	testis: 82.0	GTR14_HUMAN	56320	16	144195	19	2	NA	NA	NA
SLC2A2	ENSG00000163581	P11168	Solute carrier family 2 member 2	Evidence at protein level	Tissue enriched	13	liver: 842.9	GTR2_HUMAN	57490	39	6514	111	8	NA	NA	NA
SLC2A3	ENSG00000059804	P11169	Solute carrier family 2 member 3	Evidence at protein level	Tissue enhanced	NA	bone marrow: 432.0	GTR3_HUMAN	53924	40	6515	138	4	NA	NA	NA
SLC2A4	ENSG00000181856	P14672	Solute carrier family 2 member 4	Evidence at protein level	Tissue enhanced	NA	heart muscle: 75.8;skeletal muscle: 225.5	GLUT4_HUMAN	54787	61	6517	212	34	NA	NA	NA
SLC2A4RG	ENSG00000125520	Q9NR83	SLC2A4 regulator	Evidence at transcript level	Tissue enhanced	NA	liver: 151.9	S2A4R_HUMAN	41267	10	56731	19	17	NA	NA	NA
SLC2A5	ENSG00000142583	P22732	Solute carrier family 2 member 5	Evidence at protein level	Tissue enhanced	NA	bone marrow: 98.1;intestine: 110.1;skeletal muscle: 79.5;testis: 77.1	GTR5_HUMAN	54974	42	6518	57	13	NA	NA	NA
SLC2A6	ENSG00000160326	Q9UGQ3	Solute carrier family 2 member 6	Evidence at protein level	Tissue enhanced	NA	brain: 11.8;lymphoid tissue: 13.4	GTR6_HUMAN	54539	20	11182	21	2	NA	NA	NA
SLC2A7	ENSG00000197241	Q6PXP3	Solute carrier family 2 member 7	Evidence at transcript level	Tissue enriched	11	intestine: 3.0	GTR7_HUMAN	55728	16	155184	9	0	NA	NA	NA
SLC2A8	ENSG00000136856	Q9NY64	Solute carrier family 2 member 8	Evidence at transcript level	Low tissue specificity	NA		GTR8_HUMAN	50819	39	29988	25	1	NA	NA	NA
SLC2A9	ENSG00000109667	Q9NRM0	Solute carrier family 2 member 9	Evidence at protein level	Tissue enhanced	NA	kidney: 29.5;liver: 21.5	GTR9_HUMAN	58702	24	56606	164	1	NA	NA	NA
SLC30A1	ENSG00000170385	Q9Y6M5	Solute carrier family 30 member 1	Evidence at protein level	Tissue enhanced	NA	liver: 86.8	ZNT1_HUMAN	55300	35	7779	63	0	NA	NA	NA
SLC30A10	ENSG00000196660	Q6XR72	Solute carrier family 30 member 10	Evidence at protein level	Tissue enhanced	NA	intestine: 24.1;liver: 33.8	ZNT10_HUMAN	52684	26	55532	37	0	NA	NA	NA
SLC30A2	ENSG00000158014	Q9BRI3	Solute carrier family 30 member 2	Evidence at transcript level	Tissue enriched	5	pancreas: 100.6	ZNT2_HUMAN	35178	96	7780	39	0	NA	NA	NA
SLC30A3	ENSG00000115194	Q99726	Solute carrier family 30 member 3	Evidence at protein level	Group enriched	6	brain: 22.9;epididymis: 69.1;testis: 35.4	ZNT3_HUMAN	41945	51	7781	32	3	NA	NA	NA
SLC30A4	ENSG00000104154	O14863	Solute carrier family 30 member 4	Evidence at transcript level	Tissue enriched	5	prostate: 40.2	ZNT4_HUMAN	47483	35	7782	38	28	NA	NA	NA
SLC30A5	ENSG00000145740	Q8TAD4	Solute carrier family 30 member 5	Evidence at protein level	Low tissue specificity	NA		ZNT5_HUMAN	84047	32	64924	41	5	NA	NA	NA
SLC30A6	ENSG00000152683	Q6NXT4	Solute carrier family 30 member 6	Evidence at protein level	Low tissue specificity	NA		ZNT6_HUMAN	51116	10	55676	41	4	NA	NA	NA
SLC30A7	ENSG00000162695	Q8NEW0	Solute carrier family 30 member 7	Evidence at protein level	Low tissue specificity	NA		ZNT7_HUMAN	41626	15	148867	51	0	NA	NA	NA
SLC30A8	ENSG00000164756	Q8IWU4	Solute carrier family 30 member 8	Evidence at protein level	Tissue enriched	5	pancreas: 62.4	ZNT8_HUMAN	40755	109	169026	232	0	NA	NA	NA
SLC30A9	ENSG00000014824	Q6PML9	Solute carrier family 30 member 9	Evidence at transcript level	Low tissue specificity	NA		ZNT9_HUMAN	63515	16	10463	41	6	NA	NA	NA
SLC31A1	ENSG00000136868	O15431	Solute carrier family 31 member 1	Evidence at transcript level	Tissue enhanced	NA	liver: 108.5	COPT1_HUMAN	21091	15	1317	93	2	NA	NA	NA
SLC31A2	ENSG00000136867	O15432	Solute carrier family 31 member 2	Evidence at transcript level	Group enriched	4	parathyroid gland: 576.6;salivary gland: 412.6	COPT2_HUMAN	15681	10	1318	24	0	NA	NA	NA
SLC32A1	ENSG00000101438	Q9H598	Solute carrier family 32 member 1	Evidence at protein level	Tissue enriched	5	brain: 35.1	VIAAT_HUMAN	57415	43	140679	23	2	NA	NA	NA
SLC33A1	ENSG00000169359	O00400	Solute carrier family 33 member 1	Evidence at transcript level	Low tissue specificity	NA		ACATN_HUMAN	60909	13	9197	41	10	NA	NA	NA
SLC34A1	ENSG00000131183	Q06495	Solute carrier family 34 member 1	Evidence at transcript level	Tissue enriched	54	kidney: 156.8	NPT2A_HUMAN	68937	69	6569	57	2	HGNC:11019	Kidney	UBERON:0002113
SLC34A2	ENSG00000157765	O95436	Solute carrier family 34 member 2	Evidence at protein level	Tissue enriched	8	lung: 759.7	NPT2B_HUMAN	75759	31	10568	60	0	NA	NA	NA
SLC34A3	ENSG00000198569	Q8N130	Solute carrier family 34 member 3	Evidence at protein level	Tissue enhanced	NA	intestine: 9.8;kidney: 13.4	NPT2C_HUMAN	63550	22	142680	26	1	NA	NA	NA
SLC35A1	ENSG00000164414	P78382	Solute carrier family 35 member A1	Evidence at transcript level	Low tissue specificity	NA		S35A1_HUMAN	36779	49	10559	42	1	NA	NA	NA
SLC35A2	ENSG00000102100	P78381	Solute carrier family 35 member A2	Evidence at protein level	Low tissue specificity	NA		S35A2_HUMAN	41307	13	7355	45	0	NA	NA	NA
SLC35A3	ENSG00000117620	Q9Y2D2	Solute carrier family 35 member A3	Evidence at transcript level	Low tissue specificity	NA		S35A3_HUMAN	35985	12	23443	27	8	NA	NA	NA
SLC35A4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
SLC35A5	ENSG00000138459	Q9BS91	Solute carrier family 35 member A5	Evidence at protein level	Low tissue specificity	NA		S35A5_HUMAN	48500	9	55032	20	0	NA	NA	NA
SLC35B1	ENSG00000121073	P78383	Solute carrier family 35 member B1	Evidence at transcript level	Low tissue specificity	NA		S35B1_HUMAN	35760	28	10237	23	0	NA	NA	NA
SLC35B2	ENSG00000157593	Q8TB61	Solute carrier family 35 member B2	Evidence at transcript level	Low tissue specificity	NA		S35B2_HUMAN	47515	27	347734	32	0	NA	NA	NA
SLC35B3	ENSG00000124786	Q9H1N7	Solute carrier family 35 member B3	Evidence at transcript level	Low tissue specificity	NA		S35B3_HUMAN	44593	8	51000	17	0	NA	NA	NA
SLC35B4	ENSG00000205060	Q969S0	Solute carrier family 35 member B4	Evidence at protein level	Low tissue specificity	NA		S35B4_HUMAN	37424	49	84912	25	0	NA	NA	NA
SLC35C1	ENSG00000181830	Q96A29	Solute carrier family 35 member C1	Evidence at protein level	Tissue enhanced	NA	liver: 85.2	FUCT1_HUMAN	39809	14	55343	29	1	NA	NA	NA
SLC35C2	ENSG00000080189	Q9NQQ7	Solute carrier family 35 member C2	Evidence at protein level	Low tissue specificity	NA		S35C2_HUMAN	40432	14	51006	21	0	NA	NA	NA
SLC35D1	ENSG00000116704	Q9NTN3	Solute carrier family 35 member D1	Evidence at transcript level	Tissue enhanced	NA	liver: 75.3	S35D1_HUMAN	39240	13	23169	16	0	NA	NA	NA
SLC35D2	ENSG00000130958	Q76EJ3	Solute carrier family 35 member D2	Evidence at protein level	Low tissue specificity	NA		S35D2_HUMAN	36673	19	11046	10	5	NA	NA	NA
SLC35D3	ENSG00000182747	Q5M8T2	Solute carrier family 35 member D3	Evidence at transcript level	Tissue enhanced	NA	brain: 3.4	S35D3_HUMAN	44183	15	340146	6	0	NA	NA	NA
SLC35E1	ENSG00000127526	Q96K37	Solute carrier family 35 member E1	Evidence at protein level	Low tissue specificity	NA		S35E1_HUMAN	44773	7	79939	31	0	NA	NA	NA
SLC35E2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
SLC35E2B	ENSG00000189339	P0CK96	Solute carrier family 35 member E2B	Evidence at transcript level	Low tissue specificity	NA		S352B_HUMAN	43777	5	728661	10	0	NA	NA	NA
SLC35E3	ENSG00000175782	Q7Z769	Solute carrier family 35 member E3	Evidence at transcript level	Low tissue specificity	NA		S35E3_HUMAN	35066	31	55508	11	0	NA	NA	NA
SLC35E4	ENSG00000100036	Q6ICL7	Solute carrier family 35 member E4	Evidence at transcript level	Tissue enhanced	NA	testis: 23.0	S35E4_HUMAN	36747	19	339665	5	0	NA	NA	NA
SLC35F1	ENSG00000196376	Q5T1Q4	Solute carrier family 35 member F1	Evidence at protein level	Group enriched	5	brain: 21.5;retina: 13.3	S35F1_HUMAN	45346	10	222553	16	0	NA	NA	NA
SLC35F2	ENSG00000110660	Q8IXU6	Solute carrier family 35 member F2	Evidence at protein level	Tissue enhanced	NA	salivary gland: 37.7	S35F2_HUMAN	41212	6	54733	22	0	NA	NA	NA
SLC35F3	ENSG00000183780	Q8IY50	Solute carrier family 35 member F3	Evidence at transcript level	Tissue enriched	4	brain: 15.6	S35F3_HUMAN	46817	3	148641	10	0	NA	NA	NA
SLC35F4	ENSG00000151812	A4IF30	Solute carrier family 35 member F4	Evidence at transcript level	Tissue enhanced	NA	brain: 5.8;retina: 6.5;seminal vesicle: 3.6	S35F4_HUMAN	57809	3	341880	4	0	NA	NA	NA
SLC35F5	ENSG00000115084	Q8WV83	Solute carrier family 35 member F5	Evidence at transcript level	Low tissue specificity	NA		S35F5_HUMAN	58887	1	80255	12	0	NA	NA	NA
SLC35F6	ENSG00000213699	Q8N357	Solute carrier family 35 member F6	Evidence at transcript level	Low tissue specificity	NA		S35F6_HUMAN	40214	24	54978	29	0	NA	NA	NA
SLC35G1	ENSG00000176273	Q2M3R5	Solute carrier family 35 member G1	Evidence at transcript level	Tissue enriched	7	intestine: 69.0	S35G1_HUMAN	39836	21	159371	20	0	NA	NA	NA
SLC35G2	ENSG00000168917	Q8TBE7	Solute carrier family 35 member G2	Evidence at protein level	Low tissue specificity	NA		S35G2_HUMAN	46422	10	80723	21	1	NA	NA	NA
SLC35G3	ENSG00000164729	Q8N808	Solute carrier family 35 member G3	Evidence at transcript level	Tissue enriched	7	testis: 2.3	S35G3_HUMAN	35381	1	146861	4	0	NA	NA	NA
SLC35G4	ENSG00000236396	P0C7Q5	Solute carrier family 35 member G4	No human protein/transcript evidence	Not detected	NA		S35G4_HUMAN	35378	1	646000	2	0	NA	NA	NA
SLC35G5	ENSG00000177710	Q96KT7	Solute carrier family 35 member G5	Evidence at transcript level	Tissue enhanced	NA	testis: 2.4	S35G5_HUMAN	35161	2	83650	9	0	NA	NA	NA
SLC35G6	ENSG00000259224	P0C7Q6	Solute carrier family 35 member G6	Evidence at transcript level	Tissue enriched	10	testis: 5.2	S35G6_HUMAN	35103	1	643664	3	0	NA	NA	NA
SLC36A1	ENSG00000123643	Q7Z2H8	Solute carrier family 36 member 1	Evidence at protein level	Tissue enhanced	NA	brain: 68.1;parathyroid gland: 104.0	S36A1_HUMAN	53076	29	206358	53	0	NA	NA	NA
SLC36A2	ENSG00000186335	Q495M3	Solute carrier family 36 member 2	Evidence at protein level	Group enriched	60	kidney: 68.2;skeletal muscle: 81.0;tongue: 30.1	S36A2_HUMAN	53216	28	153201	15	7	NA	NA	NA
SLC36A3	ENSG00000186334	Q495N2	Solute carrier family 36 member 3	Evidence at transcript level	Tissue enriched	30	testis: 7.6	S36A3_HUMAN	51735	11	285641	8	0	NA	NA	NA
SLC36A4	ENSG00000180773	Q6YBV0	Solute carrier family 36 member 4	Evidence at protein level	Low tissue specificity	NA		S36A4_HUMAN	56157	19	120103	9	0	NA	NA	NA
SLC37A1	ENSG00000160190	P57057	Solute carrier family 37 member 1	Evidence at transcript level	Tissue enhanced	NA	intestine: 46.2	G6PT2_HUMAN	57648	13	54020	12	0	NA	NA	NA
SLC37A2	ENSG00000134955	Q8TED4	Solute carrier family 37 member 2	Evidence at transcript level	Tissue enhanced	NA	salivary gland: 79.5	G6PT3_HUMAN	54436	13	219855	6	0	NA	NA	NA
SLC37A3	ENSG00000157800	Q8NCC5	Solute carrier family 37 member 3	Evidence at transcript level	Low tissue specificity	NA		SPX3_HUMAN	54486	6	84255	15	0	NA	NA	NA
SLC37A4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
SLC38A1	ENSG00000111371	Q9H2H9	Solute carrier family 38 member 1	Evidence at transcript level	Low tissue specificity	NA		S38A1_HUMAN	54048	59	81539	62	11	NA	NA	NA
SLC38A10	ENSG00000157637	Q9HBR0	Solute carrier family 38 member 10	Evidence at protein level	Low tissue specificity	NA		S38AA_HUMAN	119762	6	124565	20	0	NA	NA	NA
SLC38A11	ENSG00000169507	Q08AI6	Solute carrier family 38 member 11	Evidence at transcript level	Tissue enhanced	NA	choroid plexus: 24.7;epididymis: 39.0	S38AB_HUMAN	44825	5	151258	7	0	NA	NA	NA
SLC38A2	ENSG00000134294	Q96QD8	Solute carrier family 38 member 2	Evidence at protein level	Low tissue specificity	NA		S38A2_HUMAN	56026	43	54407	85	6	NA	NA	NA
SLC38A3	ENSG00000188338	Q99624	Solute carrier family 38 member 3	Evidence at transcript level	Group enriched	6	liver: 334.3;retina: 174.4	S38A3_HUMAN	55773	35	10991	30	5	NA	NA	NA
SLC38A4	ENSG00000139209	Q969I6	Solute carrier family 38 member 4	Evidence at transcript level	Tissue enriched	60	liver: 614.9	S38A4_HUMAN	60764	9	55089	21	0	NA	NA	NA
SLC38A5	ENSG00000017483	Q8WUX1	Solute carrier family 38 member 5	Evidence at protein level	Tissue enriched	4	pancreas: 239.2	S38A5_HUMAN	51457	33	92745	19	9	NA	NA	NA
SLC38A6	ENSG00000139974	Q8IZM9	Solute carrier family 38 member 6	Evidence at protein level	Low tissue specificity	NA		S38A6_HUMAN	50929	8	145389	14	0	NA	NA	NA
SLC38A7	ENSG00000103042	Q9NVC3	Solute carrier family 38 member 7	Evidence at protein level	Tissue enhanced	NA	testis: 33.1	S38A7_HUMAN	49966	80	55238	19	0	NA	NA	NA
SLC38A8	ENSG00000166558	A6NNN8	Solute carrier family 38 member 8	Evidence at transcript level	Tissue enriched	5	brain: 3.7	S38A8_HUMAN	46731	4	146167	12	0	NA	NA	NA
SLC38A9	ENSG00000177058	Q8NBW4	Solute carrier family 38 member 9	Evidence at protein level	Tissue enhanced	NA	placenta: 58.3	S38A9_HUMAN	63776	61	153129	26	0	NA	NA	NA
SLC39A1	ENSG00000143570	Q9NY26	Solute carrier family 39 member 1	Evidence at transcript level	Low tissue specificity	NA		S39A1_HUMAN	34250	25	27173	50	0	NA	NA	NA
SLC39A10	ENSG00000196950	Q9ULF5	Solute carrier family 39 member 10	Evidence at transcript level	Tissue enhanced	NA	thyroid gland: 48.9	S39AA_HUMAN	94132	8	57181	45	1	NA	NA	NA
SLC39A11	ENSG00000133195	Q8N1S5	Solute carrier family 39 member 11	Evidence at transcript level	Low tissue specificity	NA		S39AB_HUMAN	35396	9	201266	31	0	NA	NA	NA
SLC39A12	ENSG00000148482	Q504Y0	Solute carrier family 39 member 12	Evidence at transcript level	Tissue enriched	8	choroid plexus: 310.5	S39AC_HUMAN	76666	11	221074	14	0	NA	NA	NA
SLC39A13	ENSG00000165915	Q96H72	Solute carrier family 39 member 13	Evidence at protein level	Low tissue specificity	NA		S39AD_HUMAN	39011	20	91252	20	1	NA	NA	NA
SLC39A14	ENSG00000104635	Q15043	Solute carrier family 39 member 14	Evidence at protein level	Tissue enhanced	NA	liver: 555.8;pancreas: 254.9	S39AE_HUMAN	54212	51	23516	89	0	NA	NA	NA
SLC39A2	ENSG00000165794	Q9NP94	Solute carrier family 39 member 2	Evidence at transcript level	Group enriched	5	esophagus: 18.9;prostate: 12.3;seminal vesicle: 33.5;skin 1: 36.6;vagina: 14.2	S39A2_HUMAN	32742	65	29986	41	18	NA	NA	NA
SLC39A3	ENSG00000141873	Q9BRY0	Solute carrier family 39 member 3	Evidence at protein level	Tissue enhanced	NA	testis: 101.1	S39A3_HUMAN	33601	13	29985	21	0	NA	NA	NA
SLC39A4	ENSG00000147804	Q6P5W5	Solute carrier family 39 member 4	Evidence at transcript level	Tissue enriched	5	intestine: 88.9	S39A4_HUMAN	68408	15	55630	78	0	NA	NA	NA
SLC39A5	ENSG00000139540	Q6ZMH5	Solute carrier family 39 member 5	Evidence at protein level	Group enriched	32	intestine: 239.6;kidney: 111.0;liver: 172.5;pancreas: 309.3	S39A5_HUMAN	56461	14	283375	18	0	NA	NA	NA
SLC39A6	ENSG00000141424	Q13433	Solute carrier family 39 member 6	Evidence at protein level	Low tissue specificity	NA		S39A6_HUMAN	85047	16	25800	60	0	NA	NA	NA
SLC39A7	ENSG00000112473	Q92504	Solute carrier family 39 member 7	Evidence at protein level	Low tissue specificity	NA		S39A7_HUMAN	50118	38	7922	67	0	NA	NA	NA
SLC39A8	ENSG00000138821	Q9C0K1	Solute carrier family 39 member 8	Evidence at protein level	Tissue enhanced	NA	lung: 172.6	S39A8_HUMAN	49631	50	64116	67	0	HGNC:20862	Kidney	UBERON:0002113
SLC39A9	ENSG00000029364	Q9NUM3	Solute carrier family 39 member 9	Evidence at transcript level	Low tissue specificity	NA		S39A9_HUMAN	32251	41	55334	30	0	NA	NA	NA
SLC3A1	ENSG00000138079	Q07837	Solute carrier family 3 member 1	Evidence at protein level	Tissue enhanced	NA	intestine: 137.4;kidney: 655.2;pancreas: 219.4	SLC31_HUMAN	78852	23	6519	72	7	NA	NA	NA
SLC3A2	ENSG00000168003	P08195	Solute carrier family 3 member 2	Evidence at protein level	Low tissue specificity	NA		4F2_HUMAN	67994	73	6520	297	57	NA	NA	NA
SLC40A1	ENSG00000138449	Q9NP59	Solute carrier family 40 member 1	Evidence at protein level	Low tissue specificity	NA		S40A1_HUMAN	62542	45	30061	191	1	HGNC:10909	Respiratory system, Thoracic thymus	UBERON:0001004, UBERON:0002370
SLC41A1	ENSG00000133065	Q8IVJ1	Solute carrier family 41 member 1	Evidence at protein level	Tissue enhanced	NA	heart muscle: 100.2;pancreas: 62.1;tongue: 76.6	S41A1_HUMAN	54901	59	254428	32	0	NA	NA	NA
SLC41A2	ENSG00000136052	Q96JW4	Solute carrier family 41 member 2	Evidence at transcript level	Tissue enhanced	NA	liver: 115.9	S41A2_HUMAN	62473	38	84102	14	0	NA	NA	NA
SLC41A3	ENSG00000114544	Q96GZ6	Solute carrier family 41 member 3	Evidence at protein level	Low tissue specificity	NA		S41A3_HUMAN	54767	19	54946	22	0	NA	NA	NA
SLC43A1	ENSG00000149150	O75387	Solute carrier family 43 member 1	Evidence at protein level	Group enriched	5	liver: 129.7;pancreas: 235.2	LAT3_HUMAN	61477	14	8501	18	0	NA	NA	NA
SLC43A2	ENSG00000167703	Q8N370	Solute carrier family 43 member 2	Evidence at protein level	Tissue enhanced	NA	skeletal muscle: 61.0	LAT4_HUMAN	62747	16	124935	22	0	NA	NA	NA
SLC43A3	ENSG00000134802	Q8NBI5	Solute carrier family 43 member 3	Evidence at protein level	Tissue enhanced	NA	liver: 148.1	S43A3_HUMAN	54529	14	29015	20	0	NA	NA	NA
SLC44A1	ENSG00000070214	Q8WWI5	Solute carrier family 44 member 1	Evidence at protein level	Tissue enhanced	NA	brain: 289.4	CTL1_HUMAN	73302	36	23446	46	17	NA	NA	NA
SLC44A2	ENSG00000129353	Q8IWA5	Solute carrier family 44 member 2	Evidence at protein level	Low tissue specificity	NA		CTL2_HUMAN	80124	24	57153	55	12	NA	NA	NA
SLC44A3	ENSG00000143036	Q8N4M1	Solute carrier family 44 member 3	Evidence at protein level	Low tissue specificity	NA		CTL3_HUMAN	73783	10	126969	14	0	NA	NA	NA
SLC44A4	ENSG00000204385	Q53GD3	Solute carrier family 44 member 4	Evidence at protein level	Tissue enhanced	NA	intestine: 101.7;prostate: 83.7;stomach 1: 84.0	CTL4_HUMAN	79254	29	80736	33	0	NA	NA	NA
SLC44A5	ENSG00000137968	Q8NCS7	Solute carrier family 44 member 5	Evidence at transcript level	Tissue enhanced	NA	skin 1: 10.8	CTL5_HUMAN	81694	18	204962	14	0	NA	NA	NA
SLC45A1	ENSG00000162426	Q9Y2W3	Solute carrier family 45 member 1	Evidence at protein level	Low tissue specificity	NA		S45A1_HUMAN	84541	9	50651	11	0	NA	NA	NA
SLC45A2	ENSG00000164175	Q9UMX9	Solute carrier family 45 member 2	Evidence at transcript level	Tissue enhanced	NA	liver: 1.2;skin 1: 1.0;testis: 1.0	S45A2_HUMAN	58268	10	51151	78	14	NA	NA	NA
SLC45A3	ENSG00000158715	Q96JT2	Solute carrier family 45 member 3	Evidence at protein level	Tissue enriched	7	prostate: 309.1	S45A3_HUMAN	59323	11	85414	29	3	NA	NA	NA
SLC45A4	ENSG00000022567	Q5BKX6	Solute carrier family 45 member 4	Evidence at protein level	Low tissue specificity	NA		S45A4_HUMAN	83878	5	57210	11	0	NA	NA	NA
SLC46A1	ENSG00000076351	Q96NT5	Solute carrier family 46 member 1	Evidence at protein level	Tissue enhanced	NA	intestine: 94.7	PCFT_HUMAN	49771	55	113235	90	1	NA	NA	NA
SLC46A2	ENSG00000119457	Q9BY10	Solute carrier family 46 member 2	Evidence at transcript level	Tissue enhanced	NA	cervix: 16.6;lung: 10.5;lymphoid tissue: 16.2;skin 1: 22.3	TSCOT_HUMAN	51067	12	57864	11	5	NA	NA	NA
SLC46A3	ENSG00000139508	Q7Z3Q1	Solute carrier family 46 member 3	Evidence at protein level	Tissue enhanced	NA	intestine: 76.6;liver: 96.8	S46A3_HUMAN	51519	9	283537	13	0	NA	NA	NA
SLC47A1	ENSG00000142494	Q96FL8	Solute carrier family 47 member 1	Evidence at protein level	Tissue enhanced	NA	adrenal gland: 128.4;kidney: 101.2;liver: 104.8	S47A1_HUMAN	61922	23	55244	62	0	NA	NA	NA
SLC47A2	ENSG00000180638	Q86VL8	Solute carrier family 47 member 2	Evidence at transcript level	Tissue enhanced	NA	brain: 14.1;choroid plexus: 32.2;kidney: 54.5	S47A2_HUMAN	65085	8	146802	31	0	NA	NA	NA
SLC48A1	ENSG00000211584	Q6P1K1	Solute carrier family 48 member 1	Evidence at protein level	Tissue enhanced	NA	brain: 137.6	HRG1_HUMAN	16419	20	55652	19	0	NA	NA	NA
SLC49A3	ENSG00000169026	Q6UXD7	Solute carrier family 49 member 3	Evidence at transcript level	Low tissue specificity	NA		S49A3_HUMAN	58427	3	84179	10	0	NA	NA	NA
SLC49A4	ENSG00000138463	Q96SL1	Solute carrier family 49 member 4	Evidence at protein level	Low tissue specificity	NA		DIRC2_HUMAN	52088	4	84925	13	NA	NA	NA	NA
SLC4A1	ENSG00000004939	P02730	Solute carrier family 4 member 1 (Diego blood group)	Evidence at protein level	Tissue enriched	6	bone marrow: 410.5	B3AT_HUMAN	101792	61	6521	312	70	HGNC:11027	Heart, Kidney	UBERON:0000948, UBERON:0002113
SLC4A10	ENSG00000144290	Q6U841	Solute carrier family 4 member 10	Evidence at protein level	Tissue enhanced	NA	brain: 23.1;choroid plexus: 99.5;retina: 34.6	S4A10_HUMAN	125946	43	57282	18	0	NA	NA	NA
SLC4A11	ENSG00000088836	Q8NBS3	Solute carrier family 4 member 11	Evidence at protein level	Tissue enhanced	NA	salivary gland: 54.5;thyroid gland: 61.4	S4A11_HUMAN	99581	38	83959	71	1	HGNC:16438	Kidney	UBERON:0002113
SLC4A1AP	ENSG00000163798	Q9BWU0	Solute carrier family 4 member 1 adaptor protein	Evidence at protein level	Low tissue specificity	NA		NADAP_HUMAN	88814	7	22950	59	4	NA	NA	NA
SLC4A2	ENSG00000164889	P04920	Solute carrier family 4 member 2	Evidence at protein level	Tissue enriched	5	choroid plexus: 394.0	B3A2_HUMAN	137009	25	6522	84	6	NA	NA	NA
SLC4A3	ENSG00000114923	P48751	Solute carrier family 4 member 3	Evidence at transcript level	Group enriched	4	heart muscle: 252.7;ovary: 125.1	B3A3_HUMAN	135791	22	6508	29	54	HGNC:11029	Heart	UBERON:0000948
SLC4A4	ENSG00000080493	Q9Y6R1	Solute carrier family 4 member 4	Evidence at protein level	Tissue enhanced	NA	kidney: 120.6;pancreas: 262.5	S4A4_HUMAN	121461	53	8671	104	8	NA	NA	NA
